"Aesch_Ag" "Aesch_Eumen" "Aesch_Pers" "Aesch_PromV" "Aesch_Supp" "Athenaeus_Book12" "Athenaeus_Book13" "DioSic_Book11" "Hdt_Book1" "Hesiod_Theog" "Hesiod_Works" "Homer_Iliad" "HomerJr_Odyssey" "Lysias_Book15" "Lysias1" "Lysias14" "Plato_Euth" "Plut_Lyc" "Polybius_Book1" "Soph_Ajax" "Soph_Elec" "Soph_Trach" "Thuc_Book1"
"auxy-pred-co-coord-root" 0.346726493983276 0.501567398119122 0.398724082934609 0.297534712383111 0.353000504286435 0.0763591936469151 0.027676735726712 0.0320153673763406 0.11034990114488 0.900567480878362 0.475435816164818 1.15098492438526 1.11058706272859 0 0 0 0.738067902247007 0.0373552484124019 0.0459883967737371 0.411652944901837 0.314615311278482 0.305914343983685 0.102040816326531
"auxz-pred-co-coord-root" 0.275341627574954 0.454545454545455 0.207336523125997 0.609237744403514 0.302571860816944 0.11708409692527 0.181875691918393 0.048023051064511 0.225297714837464 0.283740439180854 1.05172165394035 0.953763381481686 0.97710304076602 0 0.0705716302046577 0.214209210996073 0.639658848614073 0.102726933134105 0.127352483373426 0.411652944901837 0.333682905901421 0.4418762746431 0.174927113702624
"auxc-pred-root" 0.49969406485825 0.4858934169279 0.366826156299841 0.651742703315387 0.605143721633888 0.824679291386683 0.854024988138542 0.320153673763406 0.675893144512391 0.123365408339502 0.244921481054603 0.411798581582663 0.549064277006042 1.16279069767442 1.16443189837685 0.821135308818279 0.754469411185829 0.476279417258125 0.304230932503184 0.633312222925903 1.20125846124511 1.06503512349875 0.604956268221574
"auxx-auxc-pred-root" 0.407913522333265 0.360501567398119 0.271132376395534 0.453386228393313 0.52109598251807 0.646507839543881 0.802625336074648 0.256122939010725 0.620718193939951 0.123365408339502 0.259328626998992 0.311610037787648 0.512578644336273 1.01744186046512 0.63514467184192 0.606926097822206 0.68886337543054 0.522973477773627 0.268855242677232 0.591091408064176 1.02965010963867 1.08769544527532 0.53935860058309
"coord-pred-root" 0.275341627574954 0.54858934169279 0.334928229665072 0.425049589118731 0.47066733904858 0.911219710853187 0.83030207180136 0.720345765967665 0.717274357441721 0.197384653343203 0.331364356720934 0.294254542012133 0.308793037473414 0.726744186046512 0.670430486944248 0.571224562656194 0.311628669837625 1.20470676129996 1.01174472902222 0.390542537470973 0.333682905901421 0.339904826648538 0.772594752186589
"obj-auxp-pred-co-coord-root" 0.193758923108301 0.282131661442006 0.366826156299841 0.240861433833947 0.252143217347453 0.0712685807371208 0.0672149296220149 0.320153673763406 0.216101889742057 0.431778929188256 0.288142918887768 0.780997309898155 0.722593505557385 0 0.0352858151023289 0.0357015351660121 0.0492045268164671 0.0373552484124019 0.159190604216782 0.147772852016044 0.104871770426161 0.158622252435985 0.189504373177843
"adv-auxp-pred-co-coord-root" 0.224352437283296 0.250783699059561 0.287081339712919 0.0850099178237461 0.268952765170617 0.249440032579923 0.292582634825241 0.49623819433328 0.344843441077751 0.986923266716013 0.605100129664313 0.643731116037267 0.475203118186753 0 0.105857445306987 0.142806140664049 0.246022634082336 0.18677624206201 0.392670157068063 0.137217648300612 0.152540756983507 0.181282574212554 0.53935860058309
"adv-auxp-pred-root" 0.428309198449929 0.532915360501567 0.207336523125997 0.240861433833947 0.689191460749706 1.23701893708002 1.25731456587063 0.560268929085961 0.634511931583061 0.333086602516654 0.374585794554099 0.231932534454604 0.224253156897119 0.145348837209302 0.494001411432604 0.178507675830061 0.114810562571757 0.513634665670527 0.948068487335503 0.401097741186405 0.362284297835828 0.373895309313392 0.466472303206997
"obj-adv-pred-root" 0.724046502141546 0.642633228840125 0.478468899521531 0.665911022952678 0.537905530341234 0.524333129708817 0.846117349359481 0.704338082279494 0.721872269989425 0.209721194177153 0.388992940498487 0.234299192969446 0.208235074261611 0.290697674418605 0.494001411432604 0.285612281328097 0.0820075446941119 0.541651101979828 0.969293901231074 0.622757019210471 0.352750500524359 0.5891683661908 0.32798833819242
"adv-auxc-pred-root" 0.356924332041607 0.407523510971787 0.287081339712919 0.410881269481439 0.386619599932762 0.615964162085115 0.676103115609679 0.240115255322555 0.547151593176698 0.0986923266716013 0.144071459443884 0.30845449310119 0.403121746326965 0.726744186046512 0.63514467184192 0.571224562656194 0.328030178776447 0.364213672020919 0.251167397764256 0.517204982056154 0.915244541901039 0.793111262179923 0.459183673469388
