,Mean Freq,Thuc_Book1,Aesch_Ag,Aesch_Cho,Aesch_Eumen,Aesch_Pers,Aesch_PromV,Aesch_Septem,Aesch_Supp,Athenaeus_Book12,Athenaeus_Book13,DioSic_Book11,Hdt_Book1,Hesiod_Theog,Hesiod_Works,Homer_Iliad,HomerJr_Odyssey,Lysias_Orat1,Lysias_Orat14,Plato_Euth,Plut_Lyc,Polybius_Book1,Soph_Ajax,Soph_Antig,Soph_Elec,Soph_OT,Soph_Trach
adv-auxc-pred-root,0.450,0.459183673,0.356924332,0.51884633,0.407523511,0.28708134,0.410881269,0.304878049,0.3866196,0.615964162,0.676103116,0.240115255,0.547151593,0.098692327,0.144071459,0.308454493,0.403121746,0.635144672,0.571224563,0.328030179,0.364213672,0.251167398,0.517204982,0.434236087,0.915244542,0.724184175,0.793111262
obj-adv-pred-root,0.509,0.327988338,0.724046502,0.640927819,0.642633229,0.4784689,0.665911023,0.577663671,0.53790553,0.52433313,0.846117349,0.704338082,0.72187227,0.209721194,0.38899294,0.234299193,0.208235074,0.494001411,0.285612281,0.082007545,0.541651102,0.969293901,0.622757019,0.479945149,0.352750501,0.393383996,0.589168366
auxz-pred-root,0.474,0.182215743,0.479298389,0.381504654,0.501567398,0.19138756,0.708415982,0.529525032,0.605143722,0.285074323,0.537719437,0.064030735,0.464389167,0.061682704,0.158478605,0.300565631,0.411130788,0.176429076,0.535523027,0.787272429,0.252147927,0.198103863,1.19273802,0.811335847,1.067785299,0.920876173,0.521187401
obj-adv-pred-co-coord-root,0.282,0.240524781,0.560881093,0.32046391,0.26645768,0.462519936,0.226693114,0.41720154,0.201714574,0.096721645,0.150245137,0.416199776,0.377028829,0.468788552,0.446621524,0.572731361,0.439607379,0.07057163,0.07140307,0.098409054,0.102726933,0.180416018,0.316656111,0.297108902,0.238344933,0.11622709,0.181282574
exd-pred-root,0.426,0.043731778,0.377320008,0.778269495,0.501567398,0.669856459,0.439217909,0.545571245,0.689191461,0.111993484,0.276767357,0,0.096556164,0.123365408,0.057628584,0.303721176,0.369305794,0.670430487,0.678329168,0.492045268,0.028016436,0,0.728309056,0.651354131,0.800838974,0.768886902,0.883752549
coord-pred-co-coord-root,0.248,0.386297376,0.163165409,0.167862048,0.250783699,0.33492823,0.155851516,0.128369705,0.201714574,0.218896355,0.122568401,0.30414599,0.239091452,0.715519368,0.547471546,0.401543061,0.473423331,0.105857445,0.142806141,0.262424143,0.252147927,0.237017122,0.126662445,0.171408982,0.066736581,0.125167635,0.135961931
auxx-exd-pred-root,0.523,0.080174927,0.407913522,0.900350984,0.501567398,0.606060606,0.538396146,0.545571245,0.689191461,0.066177968,0.355843745,0,0.073566601,0.123365408,0.057628584,0.048910943,0.449396207,1.235003529,1.285255266,0.77087092,0.009338812,0,0.981633946,0.765626786,0.934312137,0.983459991,1.189666893
pred-co-coord-coord-root,0.333,0.298833819,0.132571895,0.045780559,0.094043887,0.494417863,0.099178237,0.112323492,0.100857287,0.213805742,0.122568401,0.400192092,0.432203779,0.555144338,0.950871632,0.277687932,0.423589296,0.811573747,0.321313816,0.574052813,0.242809115,0.31130607,0.295545704,0.422808822,0.371818095,0.178810907,0.38522547
obj-co-coord-pred-root,0.363,0.379008746,0.173363247,0.534106516,0.39184953,0.223285486,0.311703032,0.449293967,0.184905026,0.544695581,0.58516527,0.480230511,0.528759943,0.135701949,0.259328627,0.23903251,0.237601559,0.494001411,0.464119957,0.196818107,0.915203586,0.403282864,0.36943213,0.262827105,0.171608352,0.303978543,0.192612735
obj-co-coord-pred-co-coord-root,0.220,0.247813411,0.081582704,0.152601862,0.141065831,0.111642743,0.226693114,0.20860077,0.285762313,0.193443291,0.106753124,0.160076837,0.174720677,0.912904022,0.432214378,0.383398679,0.476093012,0.07057163,0.249910746,0.14761358,0.17743743,0.159190604,0.158328056,0.205690778,0.019067595,0.143048726,0.090641287
