"Aesch_Cho" "Aesch_Septem" "Soph_Antig" "Soph_OT"
"pred-co-coord-coord-root" 0.045780558522814 0.112323491655969 0.422808821848932 0.178810907465355
"obj-co-coord-pred-root" 0.534106516099496 0.449293966623877 0.26282710547366 0.303978542691104
"obj-co-coord-pred-co-coord-root" 0.152601861742713 0.208600770218229 0.205690778196778 0.143048725972284
"exd-pred-root" 0.778269494887838 0.545571245186136 0.651354130956462 0.768886902101028
"auxc-pred-co-coord-root" 0.198382420265527 0.128369704749679 0.194263512741401 0.0983459991059455
"auxx-exd-pred-root" 0.900350984282008 0.545571245186136 0.765626785510227 0.983459991059455
"adv-co-coord-pred-root" 0.167862047916985 0.128369704749679 0.205690778196778 0.232454179704962
"atr-adv-auxp-pred-root" 0.22890279261407 0.0962772785622593 0.251399840018284 0.169870362092088
"atr-obj-adv-pred-root" 0.427285212879597 0.401155327342747 0.308536167295166 0.259275815824765
"adv-adv-pred-co-coord-root" 0.213642606439799 0.0962772785622593 0.102845389098389 0.0357621814930711
"auxx-auxc-pred-co-coord-root" 0.091561117045628 0.0641848523748395 0.159981716375271 0.116227089852481
"auxx-adv-pred-root" 0.22890279261407 0.385109114249037 0.274254370929037 0.24139472507823
"adv-adv-pred-root" 0.106821303219899 0.224646983311938 0.239972574562907 0.268216361198033
"obj-obj-pred-root" 0.412025026705326 0.433247753530167 0.377099760027425 0.572194903889137
"pnom-pred-root" 0.335724095833969 0.256739409499358 0.354245229116672 0.536432722396066
"atr-obj-auxp-pred-co-coord-root" 0.106821303219899 0.0802310654685494 0.0914181236430122 0.107286544479213
"coord-coord-root" 0.0610407446970853 0.0962772785622593 0.331390698205919 0.143048725972284
"adv-auxc-pred-co-coord-root" 0.091561117045628 0.0641848523748395 0.148554450919895 0.0715243629861421
"obj-adv-auxc-pred-root" 0.244162978788341 0.112323491655969 0.251399840018284 0.375502905677246
"atr-adv-auxp-pred-co-coord-root" 0.0610407446970853 0.272785622593068 0.0228545309107531 0.0447027268663388
"auxy-coord-pred-root" 0.167862047916985 0.0962772785622593 0.251399840018284 0.268216361198033
"obj-auxp-pred-root" 0.366244468182512 0.304878048780488 0.239972574562907 0.295037997317836
"sbj-coord-root" 0.0610407446970853 0.128369704749679 0.182836247286024 0.0536432722396066
"auxg-pred-root" 0 0 0 0
"sbj-co-coord-pred-root" 0.137341675568442 0.144415917843389 0.228545309107531 0.214573088958426
