"aesch_ag" "aesch_co" "aesch_eumen" "aesch_pers" "aesch_pv" "aesch_sept" "aesch_suppl" "athen_book12" "athen_book13" "hdt_book1" "hesiod_theog" "hesiod_works" "IliadPoet_iliad" "lysias_oration1" "lysias_oration14" "odysseyPoet_od" "plato_euthyp" "polybius_book1" "soph_ajax" "soph_ant" "soph_elec" "soph_ot" "soph_trach" "thuc_book1"
"auxycoordroot" 0.377941934375537 0.517447260183097 0.65993265993266 1.08308393900527 0.774907749077491 0.754561668267252 0.466132556445739 0.730328647891551 0.746936393697724 1.62661397785232 0.957363909607036 1.08776266996292 1.87786896647656 1.23500352858151 0.856836843984291 1.6897775441133 0.557065217391304 1.36811963092587 0.375536480686695 0.549363057324841 0.549363057324841 0.553022942978851 0.817089978342193 2.00561572402728
"sbjpredroot" 1.67496993643704 1.68502056521162 1.37373737373737 1.23984608807183 1.51291512915129 1.63259706406915 1.87909686817189 2.4461007453354 2.95273293133632 2.06772963286312 0.601135478125348 0.852904820766378 0.907636667130338 1.51729004940014 1.24955373081042 0.869943810994644 0.597826086956522 1.46710503057942 1.77038626609442 1.46496815286624 1.46496815286624 1.56191614976459 1.41760189013585 1.47078486428667
"auxxcoordroot" 0.352173166122659 0.676661801777896 0.767676767676768 0.855066267635742 0.910209102091021 1.04266703251475 0.45156591405681 0.125056275323896 0.00778058743435129 0.0321646831778707 1.05755315596126 0.976514215080346 2.09138962303519 0 0 1.87789570531988 0.543478260869565 0.00353519284476968 0.50071530758226 0.445859872611465 0.445859872611465 0.530603093939167 0.708800945067927 0
"atrobjpredcocoordroot" 0.704346332245319 0.689929680244129 0.861952861952862 1.12583725238706 1.11931119311193 0.768280971326657 0.772032046613256 0.520234105347406 0.591324645010698 0.840876717364334 1.29132806412112 1.26081582200247 1.22687439143135 0.529287226534933 0.321313816494109 1.15828212795321 0.421195652173913 0.791883197228409 0.590128755364807 0.390127388535032 0.390127388535032 0.478290112846574 0.767867690490254 1.21674020590988
"atrsbjpredcocoordroot" 0.498196186222299 0.743001194109062 0.632996632996633 1.08308393900527 0.541205412054121 0.754561668267252 0.495265841223598 0.310139562803261 0.416261427737794 0.794927169967376 1.2245352332183 0.828182941903585 1.39310057031576 0.282286520818631 0.107104605498036 1.10817205007722 0.326086956521739 0.371195248700817 0.348712446351931 0.318471337579618 0.318471337579618 0.321351169568792 0.403622760385903 0.949324776039577
"auxppredcocoordroot" 0.352173166122659 0.318429083189598 0.525252525252525 0.584295282884424 0.29520295202952 0.644807243792015 0.480699198834669 0.375168825971687 0.39291966543474 0.629508799338326 1.41378158744295 0.828182941903585 1.3214633467798 0.176429075511644 0.178507675830061 1.17964052180199 0.271739130434783 0.639869904903313 0.277181688125894 0.230891719745223 0.230891719745223 0.216725207383604 0.305178184682024 0.869100147078486
"atrsbjpredroot" 1.03934031953273 0.928751492636328 0.606060606060606 1.16859056576885 0.799507995079951 1.01522842639594 1.31099781500364 2.16097243759692 2.33417623030539 1.73229793686532 0.378492708449293 0.284301606922126 0.459730143274447 0.741002117148906 0.392716886826134 0.391844379456511 0.285326086956522 1.24085268851416 0.947782546494993 0.644904458598726 0.644904458598726 0.851954263507959 1.07304587517228 1.323706377858
"atrobjpredroot" 1.39151348565539 1.60541329441422 1.4006734006734 0.954823998859912 1.94341943419434 1.24845657840582 1.9373634377276 0.945425441448652 1.56778836802179 0.964940495336121 0.534342647222531 0.3831891223733 0.543190986228961 0.917431192660551 0.464119957158158 0.517530312489732 0.244565217391304 0.965107646622123 1.04613733905579 0.971337579617834 0.971337579617834 1.05373290486511 1.06320141760189 0.454606230779516
"apospredcocoordroot" 0.249098093111149 0.132678784662332 0.0404040404040404 0.384779820436084 0.0861008610086101 0.274386061188092 0.101966496722505 0.0200090040518233 0 0.0229747736984791 2.30435266614717 0.135970333745365 1.53567951036305 0 0 0.578319587290113 0.0135869565217391 0.010605578534309 0.286123032904149 0.0557324840764331 0.0557324840764331 0.00747328301322771 0.0984445757038787 0.0267415429870304
"auxppredroot" 0.72152551108057 0.796072707973995 0.632996632996633 0.413282029357275 0.553505535055351 0.699684456029634 0.946831755280408 1.52568655895153 1.54833689943591 0.946560676377338 0.411889123900701 0.444993819530284 0.406176102378634 0.564573041637262 0.249910746162085 0.429632307035126 0.190217391304348 1.33276770247817 0.590128755364807 0.589171974522293 0.589171974522293 0.635229056124355 0.482378420949006 0.77550474662388
