"","V1","V2","V3","V4"
"139",278,374,0.155833333333333,0.844166666666667
"140",280,381,0.15875,0.84125
"141",282,374,0.155833333333333,0.844166666666667
"142",284,335,0.139583333333333,0.860416666666667
"143",286,355,0.147916666666667,0.852083333333333
"144",288,313,0.130416666666667,0.869583333333333
"145",290,405,0.16875,0.83125
"146",292,371,0.154583333333333,0.845416666666667
"147",294,364,0.151666666666667,0.848333333333333
"148",296,342,0.1425,0.8575
"149",298,370,0.154166666666667,0.845833333333333
"150",300,338,0.140833333333333,0.859166666666667
"151",302,404,0.168333333333333,0.831666666666667
"152",304,372,0.155,0.845
"153",306,390,0.1625,0.8375
"154",308,357,0.14875,0.85125
"155",310,362,0.150833333333333,0.849166666666667
"156",312,332,0.138333333333333,0.861666666666667
"157",314,384,0.16,0.84
"158",316,372,0.155,0.845
"159",318,420,0.175,0.825
"160",320,405,0.16875,0.83125
"161",322,391,0.162916666666667,0.837083333333333
"162",324,406,0.169166666666667,0.830833333333333
"163",326,366,0.1525,0.8475
"164",328,415,0.172916666666667,0.827083333333333
"165",330,394,0.164166666666667,0.835833333333333
"166",332,392,0.163333333333333,0.836666666666667
"167",334,381,0.15875,0.84125
"168",336,364,0.151666666666667,0.848333333333333
"169",338,385,0.160416666666667,0.839583333333333
"170",340,397,0.165416666666667,0.834583333333333
"171",342,407,0.169583333333333,0.830416666666667
"172",344,378,0.1575,0.8425
"173",346,400,0.166666666666667,0.833333333333333
"174",348,396,0.165,0.835
"175",350,379,0.157916666666667,0.842083333333333
"176",352,415,0.172916666666667,0.827083333333333
"177",354,415,0.172916666666667,0.827083333333333
"178",356,344,0.143333333333333,0.856666666666667
"179",358,424,0.176666666666667,0.823333333333333
"180",360,411,0.17125,0.82875
"181",362,351,0.14625,0.85375
"182",364,410,0.170833333333333,0.829166666666667
"183",366,382,0.159166666666667,0.840833333333333
"184",368,388,0.161666666666667,0.838333333333333
"185",370,386,0.160833333333333,0.839166666666667
"186",372,436,0.181666666666667,0.818333333333333
"187",374,388,0.161666666666667,0.838333333333333
"188",376,432,0.18,0.82
"189",378,428,0.178333333333333,0.821666666666667
"190",380,416,0.173333333333333,0.826666666666667
"191",382,390,0.1625,0.8375
"192",384,437,0.182083333333333,0.817916666666667
"193",386,400,0.166666666666667,0.833333333333333
"194",388,390,0.1625,0.8375
"195",390,410,0.170833333333333,0.829166666666667
"196",392,405,0.16875,0.83125
"197",394,443,0.184583333333333,0.815416666666667
"198",396,410,0.170833333333333,0.829166666666667
"199",398,395,0.164583333333333,0.835416666666667
"200",400,407,0.169583333333333,0.830416666666667
"201",402,415,0.172916666666667,0.827083333333333
"202",404,439,0.182916666666667,0.817083333333333
"203",406,414,0.1725,0.8275
"204",408,386,0.160833333333333,0.839166666666667
"205",410,410,0.170833333333333,0.829166666666667
"206",412,411,0.17125,0.82875
"207",414,383,0.159583333333333,0.840416666666667
"208",416,424,0.176666666666667,0.823333333333333
"209",418,414,0.1725,0.8275
"210",420,421,0.175416666666667,0.824583333333333
"211",422,412,0.171666666666667,0.828333333333333
"212",424,395,0.164583333333333,0.835416666666667
"213",426,398,0.165833333333333,0.834166666666667
"214",428,430,0.179166666666667,0.820833333333333
"215",430,428,0.178333333333333,0.821666666666667
"216",432,425,0.177083333333333,0.822916666666667
"217",434,419,0.174583333333333,0.825416666666667
"218",436,390,0.1625,0.8375
"219",438,458,0.190833333333333,0.809166666666667
"220",440,412,0.171666666666667,0.828333333333333
"221",442,393,0.16375,0.83625
"222",444,418,0.174166666666667,0.825833333333333
"223",446,378,0.1575,0.8425
"224",448,446,0.185833333333333,0.814166666666667
"225",450,437,0.182083333333333,0.817916666666667
"226",452,408,0.17,0.83
"227",454,405,0.16875,0.83125
"228",456,417,0.17375,0.82625
"229",458,408,0.17,0.83
"230",460,410,0.170833333333333,0.829166666666667
"231",462,387,0.16125,0.83875
"232",464,393,0.16375,0.83625
"233",466,417,0.17375,0.82625
"234",468,406,0.169166666666667,0.830833333333333
"235",470,412,0.171666666666667,0.828333333333333
"236",472,417,0.17375,0.82625
"237",474,427,0.177916666666667,0.822083333333333
"238",476,423,0.17625,0.82375
"239",478,443,0.184583333333333,0.815416666666667
"240",480,406,0.169166666666667,0.830833333333333
"241",482,431,0.179583333333333,0.820416666666667
"242",484,418,0.174166666666667,0.825833333333333
"243",486,422,0.175833333333333,0.824166666666667
"244",488,442,0.184166666666667,0.815833333333333
"245",490,427,0.177916666666667,0.822083333333333
"246",492,404,0.168333333333333,0.831666666666667
"247",494,385,0.160416666666667,0.839583333333333
"248",496,430,0.179166666666667,0.820833333333333
"249",498,436,0.181666666666667,0.818333333333333
"250",500,413,0.172083333333333,0.827916666666667
