"","V1","V2","V3","V4"
"173",346,321,0.114642857142857,0.885357142857143
"174",348,309,0.110357142857143,0.889642857142857
"175",350,323,0.115357142857143,0.884642857142857
"176",352,344,0.122857142857143,0.877142857142857
"177",354,307,0.109642857142857,0.890357142857143
"178",356,308,0.11,0.89
"179",358,313,0.111785714285714,0.888214285714286
"180",360,287,0.1025,0.8975
"181",362,332,0.118571428571429,0.881428571428571
"182",364,334,0.119285714285714,0.880714285714286
"183",366,318,0.113571428571429,0.886428571428571
"184",368,319,0.113928571428571,0.886071428571429
"185",370,358,0.127857142857143,0.872142857142857
"186",372,358,0.127857142857143,0.872142857142857
"187",374,329,0.1175,0.8825
"188",376,340,0.121428571428571,0.878571428571429
"189",378,353,0.126071428571429,0.873928571428571
"190",380,363,0.129642857142857,0.870357142857143
"191",382,366,0.130714285714286,0.869285714285714
"192",384,361,0.128928571428571,0.871071428571429
"193",386,367,0.131071428571429,0.868928571428571
"194",388,351,0.125357142857143,0.874642857142857
"195",390,371,0.1325,0.8675
"196",392,388,0.138571428571429,0.861428571428571
"197",394,345,0.123214285714286,0.876785714285714
"198",396,354,0.126428571428571,0.873571428571429
"199",398,360,0.128571428571429,0.871428571428571
"200",400,333,0.118928571428571,0.881071428571429
"201",402,375,0.133928571428571,0.866071428571429
"202",404,358,0.127857142857143,0.872142857142857
"203",406,344,0.122857142857143,0.877142857142857
"204",408,392,0.14,0.86
"205",410,353,0.126071428571429,0.873928571428571
"206",412,395,0.141071428571429,0.858928571428571
"207",414,351,0.125357142857143,0.874642857142857
"208",416,356,0.127142857142857,0.872857142857143
"209",418,345,0.123214285714286,0.876785714285714
"210",420,346,0.123571428571429,0.876428571428571
"211",422,381,0.136071428571429,0.863928571428571
"212",424,345,0.123214285714286,0.876785714285714
"213",426,376,0.134285714285714,0.865714285714286
"214",428,366,0.130714285714286,0.869285714285714
"215",430,370,0.132142857142857,0.867857142857143
"216",432,392,0.14,0.86
"217",434,362,0.129285714285714,0.870714285714286
"218",436,338,0.120714285714286,0.879285714285714
"219",438,355,0.126785714285714,0.873214285714286
"220",440,396,0.141428571428571,0.858571428571429
"221",442,379,0.135357142857143,0.864642857142857
"222",444,369,0.131785714285714,0.868214285714286
"223",446,373,0.133214285714286,0.866785714285714
"224",448,349,0.124642857142857,0.875357142857143
"225",450,330,0.117857142857143,0.882142857142857
"226",452,377,0.134642857142857,0.865357142857143
"227",454,382,0.136428571428571,0.863571428571429
"228",456,382,0.136428571428571,0.863571428571429
"229",458,381,0.136071428571429,0.863928571428571
"230",460,399,0.1425,0.8575
"231",462,362,0.129285714285714,0.870714285714286
"232",464,394,0.140714285714286,0.859285714285714
"233",466,364,0.13,0.87
"234",468,365,0.130357142857143,0.869642857142857
"235",470,364,0.13,0.87
"236",472,408,0.145714285714286,0.854285714285714
"237",474,349,0.124642857142857,0.875357142857143
"238",476,350,0.125,0.875
"239",478,353,0.126071428571429,0.873928571428571
"240",480,357,0.1275,0.8725
"241",482,374,0.133571428571429,0.866428571428571
"242",484,369,0.131785714285714,0.868214285714286
"243",486,365,0.130357142857143,0.869642857142857
"244",488,375,0.133928571428571,0.866071428571429
"245",490,364,0.13,0.87
"246",492,353,0.126071428571429,0.873928571428571
"247",494,352,0.125714285714286,0.874285714285714
"248",496,352,0.125714285714286,0.874285714285714
