"","x"
"437","#-pred-v-adv-v-adv-a"
"438","#-pred-v-adv-v-adv-a"
"439","#-pred--auxp-r"
"440","#-pred--auxp-r"
"441","#-pred-v-adv-v-coord-c-auxy-d"
"442","#-pred-v-adv-v-coord-c-auxy-d"
"443","#-pred-v-obj-a-atr-a"
"444","#-pred-v-obj-a-atr-a"
"445","#-coord-c-pred_co-v-coord-c-obj_co-v"
"446","#-coord-c-pred_co-v-coord-c-obj_co-v"
"447","#-pred-v-obj-a-atr-l"
"448","#-pred-v-obj-a-atr-l"
"449","#-coord-c-pred_co-v-auxp-r-adv-n-atr-l"
"450","#-coord-c-pred_co-v-auxp-r-adv-n-atr-l"
"451","#-pred-v-coord-c-auxy-c"
"452","#-pred-v-coord-c-auxy-c"
"453","#-coord-c-exd-n"
"454","#-coord-c-exd-n"
"455","#-pred-v-auxp-r-coord-c"
"456","#-pred-v-auxp-r-coord-c"
"457","#-pred-v-sbj-n-atr-n-atr-a"
"458","#-pred-v-sbj-n-atr-n-atr-a"
"459","#-coord-c-pred_co-v-adv-v-auxp-r-adv-n"
"460","#-coord-c-pred_co-v-adv-v-auxp-r-adv-n"
"461","#-pred-v-exd-e"
"462","#-pred-v-exd-e"
"463","#-pred-v-auxz-c"
"464","#-pred-v-auxz-c"
"465","#-coord-c-pred_co-v-apos-u"
"466","#-coord-c-pred_co-v-apos-u"
"467","#-pred-v-apos-u-sbj_ap-n-atr-n"
"468","#-pred-v-apos-u-sbj_ap-n-atr-n"
"469","#-pred--sbj-n-atr-a"
"470","#-pred--sbj-n-atr-a"
"471","#-coord-c-pred_co-v-obj-v-auxp-r"
"472","#-coord-c-pred_co-v-obj-v-auxp-r"
"473","#-pred-v-sbj-v-auxp-r"
"474","#-pred-v-sbj-v-auxp-r"
"475","#-pred-v-adv-v-auxy-d"
"476","#-pred-v-adv-v-auxy-d"
"477","#-pred-v-auxp-r-obj-a"
"478","#-pred-v-auxp-r-obj-a"
"479","#-coord-c-pred_co-v-coord-c-obj_co-n-atr-a"
"480","#-coord-c-pred_co-v-coord-c-obj_co-n-atr-a"
"481","#-coord-c-pred_co-v-sbj-v"
"482","#-coord-c-pred_co-v-sbj-v"
"483","#-coord-u-pred_co-v-obj-n"
"484","#-coord-u-pred_co-v-obj-n"
"485","#-pred-v-apos-u-coord-c-obj_ap_co-n"
"486","#-pred-v-apos-u-coord-c-obj_ap_co-n"
"487","#-coord-c-pred_co-v-pnom-n"
"488","#-coord-c-pred_co-v-pnom-n"
"489","#-pred-v-obj-n-coord-c"
"490","#-pred-v-obj-n-coord-c"
"491","#-pred-v-auxp-r-obj-p"
"492","#-pred-v-auxp-r-obj-p"
"493","#-pred-v-coord-c-obj_co-v-auxp-r"
"494","#-pred-v-coord-c-obj_co-v-auxp-r"
"495","#-pred-v-adv-v-coord-c-obj_co-n-atr-a"
"496","#-pred-v-adv-v-coord-c-obj_co-n-atr-a"
"497","#-pred-v-auxc-d-adv-v"
"498","#-pred-v-auxc-d-adv-v"
"499","#-pred-v-coord-c-sbj_co-n-atr-n"
"500","#-pred-v-coord-c-sbj_co-n-atr-n"
"501","#-pred-v-sbj-n-coord-c"
"502","#-pred-v-sbj-n-coord-c"
"503","#-pred-v-coord-u"
"504","#-pred-v-coord-u"
"505","#-pred-v-obj-p-atv-v"
"506","#-pred-v-obj-p-atv-v"
"507","#-pred-v-obj-v-auxc-c"
"508","#-pred-v-obj-v-auxc-c"
"509","#-pred-v-auxc-c-adv-v-sbj-n-atr-a"
"510","#-pred-v-auxc-c-adv-v-sbj-n-atr-a"
"511","#-pred-v-coord-c-adv_co-v-obj-n-atr-l"
"512","#-pred-v-coord-c-adv_co-v-obj-n-atr-l"
"513","#-coord-c-pred_co-v-apos-"
"514","#-coord-c-pred_co-v-apos-"
"515","#-pred-v-adv-v-adv-n-atr-a"
"516","#-pred-v-adv-v-adv-n-atr-a"
"517","#-pred--coord-c-auxy-d"
"518","#-pred--coord-c-auxy-d"
"519","#-pred-v-apos--sbj_ap-n-atr-n"
"520","#-pred-v-apos--sbj_ap-n-atr-n"
"521","#-coord-c-coord-c-pred_co-v-obj-n-atr-a"
"522","#-coord-c-coord-c-pred_co-v-obj-n-atr-a"
"523","#-pred-v-obj-v-atr-l"
"524","#-pred-v-obj-v-atr-l"
"525","#-coord-c-pred_co-v-adv-v-obj-n-atr-l"
"526","#-coord-c-pred_co-v-adv-v-obj-n-atr-l"
"527","#-pred-v-obj-p-atr-v"
