443,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
444,0.000127084,3.93E-45,0,3.00E-240,2.55E-80,2.00E-75,2.93E-266,1.20E-50,0,4.57E-224,0.999872916,0
445,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
446,3.67E-27,6.34E-11,1.91E-92,0.999955666,1.94E-41,8.95E-47,0,1.18E-48,3.43E-16,4.43E-05,2.73E-50,1.87E-35
447,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
448,3.62E-43,1.70E-96,0,7.01E-63,7.29E-37,3.34E-17,0,1,0,9.12E-209,4.19E-36,1.17E-164
449,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,Aeschylus,Athenaeus,Diodorus,Hdt,Hesiod,Iliad,Lysias,Odyssey,Plutarch,Polybius,Sophocles,Thucydides
462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
