"","V1","V5","V10","V3","V12","V9","V11","V7","V8","V2","V13","V4","V6"
"1670",2016,"0.989745141","0.010254555","3.03e-07","1.93e-14","9.21e-26","2.92e-28","4.19e-35","1.02e-39","2.11e-44","3.02e-49","1.9e-51","1.15e-291"
"1671",2017,"Athenaeus","Polybius","Sophocles","Plutarch","Hdt","Iliad","Odyssey","Aeschylus","Hesiod","Thucydides","Diodorus","Lysias"
"1672",2018,"1","5.38e-13","1.67e-14","3.88e-20","5.35e-21","9.93e-28","2.06e-29","5.62e-39","1.57e-42","3.41e-72","5.68e-104","0"
"1673",2019,"Athenaeus","Hdt","Polybius","Plutarch","Sophocles","Hesiod","Aeschylus","Iliad","Odyssey","Thucydides","Diodorus","Lysias"
"1674",2020,"1","1.88e-10","3.09e-23","3.06e-28","4.63e-35","2.28e-40","2.34e-42","3.01e-49","3.25e-56","1.98e-69","8.68e-115","0"
"1675",2021,"Aeschylus","Sophocles","Athenaeus","Hesiod","Odyssey","Iliad","Hdt","Plutarch","Polybius","Thucydides","Diodorus","Lysias"
"1676",2022,"0.999996056","3.94e-06","4.16e-13","3.19e-26","1.58e-32","6.64e-37","6.9e-72","4.8e-87","1.23e-107","6.66e-227","9.33e-291","0"
"1677",2023,"Polybius","Athenaeus","Plutarch","Hdt","Sophocles","Thucydides","Diodorus","Hesiod","Aeschylus","Iliad","Odyssey","Lysias"
"1678",2024,"1","3.27e-11","3.42e-13","7.75e-17","1.15e-29","1.15e-42","3.8e-43","1.18e-49","1.29e-57","2.88e-58","3.6e-77","0"
"1679",2025,"Aeschylus","Sophocles","Odyssey","Athenaeus","Hesiod","Iliad","Hdt","Diodorus","Lysias","Plutarch","Polybius","Thucydides"
"1680",2026,"1","1.98e-17","2.12e-57","3.45e-63","5.67e-74","3.49e-89","4.01e-265","0","0","0","0","0"
"1681",2027,"Iliad","Odyssey","Hesiod","Aeschylus","Sophocles","Hdt","Athenaeus","Thucydides","Diodorus","Polybius","Lysias","Plutarch"
"1682",2028,"0.999931441","6.86e-05","1.61e-23","6.78e-53","1.8e-55","2.49e-95","1.08e-118","6.86e-159","1.34e-210","4.31e-242","0","0"
"1683",2029,"Sophocles","Athenaeus","Hdt","Odyssey","Aeschylus","Hesiod","Iliad","Plutarch","Thucydides","Polybius","Diodorus","Lysias"
"1684",2030,"0.987163082","0.012836911","3.74e-09","2.84e-09","2.94e-11","5.24e-18","3.96e-20","2.73e-29","6.17e-41","1.29e-44","2.05e-158","0"
