"Aesch_Ag" "Aesch_Cho" "Aesch_Eumen" "Aesch_Pers" "Aesch_PromV" "Aesch_Septem" "Aesch_Supp" "Athenaeus_Book12" "Athenaeus_Book13" "DioSic_Book11" "Hdt_Book1" "Hesiod_Theog" "Hesiod_Works" "Plato_Euth" "Plut_Lyc" "Polybius_Book1" "Soph_Ajax" "Soph_Antig" "Soph_Elec" "Soph_OT" "Soph_Trach" "Thuc_Book1"
"auxp-pred-root" 0.856618396899857 0.91561117045628 0.736677115987461 0.462519936204147 0.637574383678096 0.818356867779204 1.09262060850563 1.55263693748727 1.57362011703305 0.99247638866656 0.888406496221257 0.456452010856156 0.518657253997983 0.229621125143513 0.756443780351139 1.33366350643838 0.696643445218493 0.628499600045709 0.705501001048718 0.75994635672776 0.555177883525946 0.65597667638484
"coord-pred-co-coord-root" 0.163165408933306 0.167862047916985 0.250783699059561 0.334928229665072 0.155851516010201 0.128369704749679 0.201714573877963 0.218896355121157 0.122568401075439 0.304145990075236 0.245216272712655 0.715519368369109 0.54747154588676 0.262424143021158 0.252147926783713 0.237017121833876 0.126662444585181 0.171408981830648 0.0667365811802841 0.125167635225749 0.135961930659415 0.386297376093294
"obj-co-coord-pred-co-coord-root" 0.0815827044666531 0.152601861742713 0.141065830721003 0.111642743221691 0.226693114196656 0.208600770218229 0.28576231299378 0.193443290572185 0.106753123517318 0.160076836881703 0.188937128155652 0.912904021712312 0.432214378331652 0.147613580449401 0.177437429958909 0.159190604216782 0.158328055731476 0.205690778196778 0.0190675946229383 0.143048725972284 0.0906412871062769 0.247813411078717
"auxc-pred-co-coord-root" 0.244748113399959 0.198382420265527 0.266457680250784 0.287081339712919 0.170019835647492 0.128369704749679 0.168095478231636 0.0916310323762981 0.118614581685909 0.0320153673763406 0.205016883743367 0.209721194177153 0.576285837775537 0.68886337543054 0.121404557340306 0.0424508277911419 0.158328055731476 0.194263512741401 0.209743540852321 0.0983459991059455 0.260593700430546 0.306122448979592
"auxx-auxc-pred-root" 0.407913522333265 0.717228750190752 0.360501567398119 0.271132376395534 0.453386228393313 0.336970474967908 0.52109598251807 0.646507839543881 0.802625336074648 0.256122939010725 0.639170284611674 0.123365408339502 0.259328626998992 0.68886337543054 0.522973477773627 0.268855242677232 0.591091408064176 0.537081476402697 1.02965010963867 0.902995082700045 1.08769544527532 0.53935860058309
"adv-adv-pred-co-coord-root" 0.234550275341628 0.213642606439799 0.0626959247648903 0.159489633173844 0.028336639274582 0.0962772785622593 0.0672381912926542 0.0356342903685604 0.0632611102324846 0.0960461021290219 0.116578228010934 0.382432765852455 0.461028670220429 0 0.0840493089279044 0.106127069477855 0.327211315178383 0.102845389098389 0.0858041758032224 0.0357621814930711 0.0339904826648538 0.196793002915452
"adv-auxc-pred-root" 0.356924332041607 0.518846329925225 0.407523510971787 0.287081339712919 0.410881269481439 0.304878048780488 0.386619599932762 0.615964162085115 0.676103115609679 0.240115255322555 0.55475156777617 0.0986923266716013 0.144071459443884 0.328030178776447 0.364213672020919 0.251167397764256 0.517204982056154 0.434236087304308 0.915244541901039 0.724184175234689 0.793111262179923 0.459183673469388
"auxz-pred-root" 0.479298388741587 0.381504654356783 0.501567398119122 0.191387559808612 0.708415981864551 0.529525032092426 0.605143721633888 0.285074322948483 0.537719436976119 0.0640307347526813 0.430133461971378 0.0616827041697508 0.158478605388273 0.787272429063474 0.252147926783713 0.198103863025329 1.19273801984378 0.811335847331733 1.06778529888455 0.92087617344658 0.521187400861092 0.182215743440233
"pred-co-coord-coord-root" 0.132571894758311 0.045780558522814 0.0940438871473354 0.494417862838915 0.0991782374610371 0.112323491655969 0.100857286938981 0.213805742211362 0.122568401075439 0.400192092204258 0.486412606528381 0.555144337527757 0.950871632329635 0.574052812858783 0.242809114680613 0.311306070468374 0.295545704032088 0.422808821848932 0.371818095147297 0.178810907465355 0.385225470201677 0.298833819241982
"auxg-pred-root" 0 0 0 0 0 0 0 0.11708409692527 0.114660762296378 0 0.176877311464866 0.0123365408339502 0 0.0164015089388224 0 0.0283005518607613 0.0105552037154317 0 0 0 0 0.21865889212828
"auxx-auxc-pred-co-coord-root" 0.193758923108301 0.091561117045628 0.0940438871473354 0.223285486443381 0.127514876735619 0.0641848523748395 0.100857286938981 0.0865404194665038 0.0790763877906057 0.048023051064511 0.184917189258723 0.209721194177153 0.576285837775537 0.311628669837625 0.0840493089279044 0.0459883967737371 0.158328055731476 0.159981716375271 0.171608351606445 0.116227089852481 0.249263539542261 0.255102040816327
"atr-obj-auxp-pred-co-coord-root" 0.0917805425249847 0.106821303219899 0.156739811912226 0.207336523125997 0.155851516010201 0.0802310654685494 0.168095478231636 0.0458155161881491 0.027676735726712 0.368176724827917 0.192957067052581 0.259067357512953 0.129664313499496 0.0492045268164671 0.018677624206201 0.162728173199377 0.0316656111462951 0.0914181236430122 0.0667365811802841 0.107286544479213 0.0906412871062769 0.102040816326531
"exd-pred-root" 0.37732000815827 0.778269494887838 0.501567398119122 0.669856459330144 0.439217908756022 0.545571245186136 0.689191460749706 0.111993484015475 0.27676735726712 0 0.0924585946293616 0.123365408339502 0.0576285837775537 0.492045268164671 0.0280164363093015 0 0.728309056364788 0.651354130956462 0.800838974163409 0.768886902101028 0.8837525492862 0.043731778425656
