"Homer_Iliad" "HomerJr_Odyssey"
"exd-co-coord-pred-root" 0.0528553734981579 0.0222473369937618
"atr-co-coord-sbj-pred-root" 0.0402331947523292 0.035595739190019
"obj-atr-sbj-pred-root" 0.0418109670955578 0.033815952230518
"auxx-atr-sbj-pred-root" 0.0339221053794148 0.0409351000685218
"coord-adv-pred-root" 0.0331332192078005 0.0409351000685218
"exd-ap-apos-pred-root" 0.00946663405937157 0.0667420109812855
"obj-ap-exd-apos-pred-root" 0.0544331458413865 0.0151281891557581
"adv-auxp-adv-pred-root" 0.0354998777226434 0.035595739190019
"atr-pnom-pred-root" 0.0315554468645719 0.0400452065887713
"sbj-adv-co-coord-auxc-pred-co-coord-root" 0.0362887638942577 0.033815952230518
"adv-adv-co-coord-auxc-pred-root" 0.0362887638942577 0.0329260587507675
"auxx-coord-obj-pred-root" 0.0339221053794148 0.0347058457102685
"sbj-adv-co-coord-auxc-pred-root" 0.0236665851484289 0.0462744609470246
"atr-obj-adv-auxc-coord-root" 0.0244554713200432 0.0444946739875237
"atr-obj-exd-pred-co-coord-root" 0.0331332192078005 0.0347058457102685
"obj-atr-co-coord-obj-pred-co-coord-root" 0.0354998777226434 0.0311462717912666
"pnom-co-coord-pred-root" 0.0283999021781147 0.0391553131090209
"atr-exd-pred-co-coord-root" 0.037077650065872 0.0284765913520152
"auxy-coord-obj-pred-co-coord-root" 0.0386554224091006 0.0266968043925142
"atr-obj-ap-apos-pred-root" 0.0134110649174431 0.0542835022647789
"auxz-atr-sbj-pred-co-coord-root" 0.0299776745213433 0.035595739190019
"obj-co-coord-adv-auxc-pred-co-coord-root" 0.0283999021781147 0.0373755261495199
"atr-sbj-ap-apos-pred-root" 0.00946663405937157 0.0569531827040303
"auxy-coord-adv-pred-co-coord-root" 0.037077650065872 0.0258069109127637
"obj-auxp-obj-pred-co-coord-root" 0.0347109915510291 0.0284765913520152
"adv-auxp-adv-auxc-pred-root" 0.0299776745213433 0.0329260587507675
"adv-auxp-obj-pred-co-coord-root" 0.0331332192078005 0.0293664848317656
"atr-atr-obj-auxp-pred-co-coord-root" 0.0315554468645719 0.0311462717912666
"auxy-adv-pred-root" 0.0354998777226434 0.0266968043925142
"adv-obj-co-coord-pred-root" 0.0283999021781147 0.033815952230518
"atr-adv-auxp-adv-pred-co-coord-root" 0.037077650065872 0.0240271239532628
"atr-exd-ap-apos-pred-root" 0.00788886171614298 0.0569531827040303
"obj-coord-coord-root" 0.015777723432286 0.0480542479065256
"atr-obj-adv-co-coord-auxc-pred-root" 0.0315554468645719 0.0293664848317656
"auxy-coord-auxc-pred-root" 0.0260332436632718 0.035595739190019
"pnom-obj-pred-co-coord-root" 0.0228776989768146 0.0391553131090209
"auxy-coord-obj-pred-root" 0.037077650065872 0.0222473369937618
"sbj-atr-sbj-pred-root" 0.0315554468645719 0.0275866978722647
"sbj-exd-adv-pred-co-coord-root" 0.0386554224091006 0.01868776307476
"coord-adv-auxc-pred-co-coord-root" 0.0260332436632718 0.0320361652710171
"atr-sbj-obj-pred-co-coord-root" 0.0252443574916575 0.0320361652710171
"auxz-auxc-pred-root" 0.0339221053794148 0.0222473369937618
"atr-sbj-adv-auxc-coord-root" 0.0228776989768146 0.033815952230518
"obj-atv-obj-pred-co-coord-root" 0.0228776989768146 0.033815952230518
"sbj-adv-pred-root" 0.0331332192078005 0.0222473369937618
"adv-co-coord-auxp-pred-co-coord-root" 0.0394443085807149 0.0142382956760076
"auxc-root" 0.0126221787458288 0.0444946739875237
"atr-obj-atr-obj-pred-co-coord-root" 0.0347109915510291 0.01868776307476
"obj-ap-co-coord-exd-apos-pred-co-coord-root" 0.0512776011549294 0
"adv-atr-sbj-pred-root" 0.0331332192078005 0.0195776565545104
"atr-obj-obj-co-coord-pred-root" 0.0236665851484289 0.0302563783115161
"auxx-coord-auxc-coord-root" 0.0220888128052003 0.0320361652710171
"adv-auxp-obj-pred-root" 0.0252443574916575 0.0266968043925142
"adv-co-coord-adv-pred-co-coord-root" 0.0307665606929576 0.0204675500342609
"atr-adv-adv-pred-co-coord-root" 0.0252443574916575 0.0266968043925142
"atr-obj-co-coord-auxp-pred-co-coord-root" 0.0205110404619717 0.0320361652710171
"obj-auxp-adv-auxc-pred-root" 0.0228776989768146 0.0293664848317656
"exd-ap-exd-apos-pred-root" 0.044966511782015 0.0035595739190019
"obj-co-coord-atr-co-coord-obj-pred-co-coord-root" 0.0465442841252436 0.00177978695950095
"atr-sbj-obj-pred-root" 0.0283999021781147 0.0213574435140114
"auxc-exd-pred-root" 0.0339221053794148 0.0151281891557581
"obj-auxc-pred-root" 0.0228776989768146 0.0275866978722647
"sbj-co-coord-exd-pred-co-coord-root" 0.0378665362374863 0.0106787217570057
"adv-adv-adv-pred-co-coord-root" 0.0402331947523292 0.00711914783800379
"atr-obj-co-coord-adv-pred-co-coord-root" 0.0307665606929576 0.0177978695950095
"atr-obj-co-coord-adv-pred-root" 0.015777723432286 0.0347058457102685
"auxx-apos-pred-root" 0.00552220320130008 0.0462744609470246
