"","x"
"380","#-pred*v-*adv*g-*pred*v-*obj*pp"
"381","#-pred*v-*obj*ne"
"382","#-pred*v-*obj*ne"
"383","#-pred*v-*adv*pp"
"384","#-pred*v-*adv*pp"
"385","#-pred*v-*obl*r-*obl*ne"
"386","#-pred*v-*obl*r-*obl*ne"
"387","#-pred*c-*pred*v-*adv*v-"
"388","#-pred*c-*pred*v-*adv*v-"
"389","#-pred*sub*ne"
"390","#-pred*sub*ne"
"391","#-pred*v-*adv*r-*obl*nb*atr*a-"
"392","#-pred*v-*adv*r-*obl*nb*atr*a-"
"393","#-pred*c-*pred*v-*xobj*nb"
"394","#-pred*c-*pred*v-*xobj*nb"
"395","#-pred*v-*sub*c-*sub*nb*aux*s-"
"396","#-pred*v-*sub*c-*sub*nb*aux*s-"
"397","#-pred*v-*adv*a-"
"398","#-pred*v-*adv*a-"
"399","#-pred*c-*pred*xobj*a-"
"400","#-pred*c-*pred*xobj*a-"
"401","#-pred*v-*sub*a-*aux*s-"
"402","#-pred*v-*sub*a-*aux*s-"
"403","#-pred*v-*adv*g-*pred*v-*adv*r-*obl*pp"
"404","#-pred*v-*adv*g-*pred*v-*adv*r-*obl*pp"
"405","#-pred*c-*pred*v-*xadv*c-*xadv*v-"
"406","#-pred*c-*pred*v-*xadv*c-*xadv*v-"
"407","#-pred*c-*pred*v-*sub*a-"
"408","#-pred*c-*pred*v-*sub*a-"
"409","#-pred*c-*pred*v-*adv*r-*obl*pp"
"410","#-pred*c-*pred*v-*adv*r-*obl*pp"
"411","#-pred*adv*r-*obl*c-*obl*nb*apos*nb"
"412","#-pred*adv*r-*obl*c-*obl*nb*apos*nb"
"413","#-pred*v-*comp*g-*pred*v-*adv*r-*obl*nb"
"414","#-pred*v-*comp*g-*pred*v-*adv*r-*obl*nb"
"415","#-voc*nb*aux*s-"
"416","#-voc*nb*aux*s-"
"417","#-pred*c-*pred*v-*sub*nb*atr*nb*aux*s-"
"418","#-pred*c-*pred*v-*sub*nb*atr*nb*aux*s-"
"419","#-pred*v-*obl*c-"
"420","#-pred*v-*obl*c-"
"421","#-pred*v-*obl*obl*nb"
"422","#-pred*v-*obl*obl*nb"
"423","#-pred*v-*obl*obl*nb*aux*s-"
"424","#-pred*v-*obl*obl*nb*aux*s-"
"425","#-pred*sub*nb*atr*nb"
"426","#-pred*sub*nb*atr*nb"
"427","#-pred*c-*pred*c-"
"428","#-pred*c-*pred*c-"
"429","#-pred*c-*pred*v-*adv*g-*pred*c-*pred*v-"
"430","#-pred*c-*pred*v-*adv*g-*pred*c-*pred*v-"
"431","#-pred*v-*comp*g-*pred*v-*sub*nb"
"432","#-pred*v-*comp*g-*pred*v-*sub*nb"
"433","#-pred*xobj*v-"
"434","#-pred*xobj*v-"
"435","#-pred*comp*adv*g-*pred*v-*comp*v-*xobj*xobj*a-"
"436","#-pred*comp*adv*g-*pred*v-*comp*v-*xobj*xobj*a-"
"437","#-pred*v-*adv*c-*adv*r-*obl*nb"
"438","#-pred*v-*adv*c-*adv*r-*obl*nb"
"439","#-pred*c-*pred*v-*comp*v-"
"440","#-pred*c-*pred*v-*comp*v-"
"441","#-pred*v-*adv*g-*pred*v-*adv*df"
"442","#-pred*v-*adv*g-*pred*v-*adv*df"
"443","#-pred*v-*comp*v-*sub*nb"
"444","#-pred*v-*comp*v-*sub*nb"
"445","#-pred*comp*xobj*xobj*a-"
"446","#-pred*comp*xobj*xobj*a-"
"447","#-pred*v-*xobj*v-*adv*r-*obl*nb"
"448","#-pred*v-*xobj*v-*adv*r-*obl*nb"
"449","#-pred*v-*comp*c-*comp*v-"
"450","#-pred*v-*comp*c-*comp*v-"
"451","#-pred*v-*xobj*nb*aux*s-"
"452","#-pred*v-*xobj*nb*aux*s-"
"453","#-pred*v-*xadv*v-*adv*g-"
"454","#-pred*v-*xadv*v-*adv*g-"
"455","#-pred*v-*comp*g-*pred*c-"
"456","#-pred*v-*comp*g-*pred*c-"
"457","#-pred*v-*adv*g-*pred"
"458","#-pred*v-*adv*g-*pred"
"459","#-pred*v-*sub*c-*aux*c-"
"460","#-pred*v-*sub*c-*aux*c-"
"461","#-pred*pred*v-"
"462","#-pred*pred*v-"
"463","#-pred*v-*adv*g-*pred*v-*obj*nb*aux*s-"
"464","#-pred*v-*adv*g-*pred*v-*obj*nb*aux*s-"
"465","#-pred*c-*pred*v-*xobj*a-"
"466","#-pred*c-*pred*v-*xobj*a-"
"467","#-pred*v-*sub*nb*atr*px"
"468","#-pred*v-*sub*nb*atr*px"
"469","#-pred*v-*comp*v-*adv*r-*obl*nb"
"470","#-pred*v-*comp*v-*adv*r-*obl*nb"
"471","#-pred*v-*sub*nb*atr*pd"
"472","#-pred*v-*sub*nb*atr*pd"
"473","#-pred*v-*adv*r-*obl*nb*atr*v-"
"474","#-pred*v-*adv*r-*obl*nb*atr*v-"
"475","#-pred*v-*adv*c-*adv*v-"
"476","#-pred*v-*adv*c-*adv*v-"
"477","#-pred*v-*sub*pr"
"478","#-pred*v-*sub*pr"
"479","#-pred*v-*xobj"
"480","#-pred*v-*xobj"
"481","#-pred*v-*xobj*r-*obl*nb"
"482","#-pred*v-*xobj*r-*obl*nb"
"483","#-pred*obl*nb*aux*s-"
"484","#-pred*obl*nb*aux*s-"
"485","#-pred*c-*pred*v-*obj"
"486","#-pred*c-*pred*v-*obj"
"487","#-pred*c-*pred*v-*obj*c-*obj*nb*aux*s-"
"488","#-pred*c-*pred*v-*obj*c-*obj*nb*aux*s-"
"489","#-pred*v-*xobj*nb*atr*nb"
"490","#-pred*v-*xobj*nb*atr*nb"
"491","#-pred*v-*sub*nb*atr*v-"
"492","#-pred*v-*sub*nb*atr*v-"
"493","#-pred*v-*adv*r-*obl*a-"
"494","#-pred*v-*adv*r-*obl*a-"
"495","#-pred*v-*adv*g-*pred*v-*xobj*v-"
"496","#-pred*v-*adv*g-*pred*v-*xobj*v-"
"497","#-pred*v-*sub*c-*sub*v-"
"498","#-pred*v-*sub*c-*sub*v-"
"499","#-pred*v-*obl*nb*atr*pp"
"500","#-pred*v-*obl*nb*atr*pp"
"501","#-pred*v-*obj*nb*atr*nb*aux*s-"
"502","#-pred*v-*obj*nb*atr*nb*aux*s-"
"503","#-pred*sub*pd"
"504","#-pred*sub*pd"
"505","#-pred*c-*pred*v-*adv*c-"
"506","#-pred*c-*pred*v-*adv*c-"
"507","#-pred*c-*pred*v-*xadv*v-*obj*nb*aux*s-"
"508","#-pred*c-*pred*v-*xadv*v-*obj*nb*aux*s-"
"509","#-pred*v-*adv*g-*pred*v-*xobj*a-"
"510","#-pred*v-*adv*g-*pred*v-*xobj*a-"
"511","#-pred*v-*obl*c-*obl*r-"
"512","#-pred*v-*obl*c-*obl*r-"
"513","#-pred*v-*comp*v-*sub*pp"
"514","#-pred*v-*comp*v-*sub*pp"
"515","#-pred*xobj*c-"
"516","#-pred*xobj*c-"
"517","#-pred*v-*adv*g-*pred*v-*adv*r-*obl*nb*aux*s-"
"518","#-pred*v-*adv*g-*pred*v-*adv*r-*obl*nb*aux*s-"
"519","#-pred*c-*pred*v-*adv*c-*adv*r-"
"520","#-pred*c-*pred*v-*adv*c-*adv*r-"
"521","#-pred*c-*pred*v-*comp*g-"
"522","#-pred*c-*pred*v-*comp*g-"
"523","#-pred*v-*xobj*v-*adv*g-"
"524","#-pred*v-*xobj*v-*adv*g-"
"525","#-pred*v-*xobj*v-*adv*g-*pred*v-"
"526","#-pred*v-*xobj*v-*adv*g-*pred*v-"
"527","#-pred*v-*comp*v-*sub*nb*aux*s-"
"528","#-pred*v-*comp*v-*sub*nb*aux*s-"
"529","#-pred*v-*adv*g-*pred*v-*sub*c-*sub*nb"
"530","#-pred*v-*adv*g-*pred*v-*sub*c-*sub*nb"
"531","#-pred*obl*nb"
"532","#-pred*obl*nb"
"533","#-pred*v-*xadv*v-*obj*nb*atr*a-"
"534","#-pred*v-*xadv*v-*obj*nb*atr*a-"
"535","#-pred*c-*pred*v-*xadv*v-*obl*r-"
"536","#-pred*c-*pred*v-*xadv*v-*obl*r-"
"537","#-pred*c-*pred*v-*obj*pd"
